id;name;gas_type_id;serial_number;vendor_code;status;current_location_id;company_owner_id;metadata;version
;Acetylene-01;1;681746778;681746778;filled;;;;1
;Acetylene-02;1;681746802;681746802;filled;;;;1
;Acetylene-03;1;11638;;filled;;;;1
;Acetylene-04;1;640298;;filled;;;;1
;Acetylene-05;1;681746787;681746787;filled;;;;1
;Acetylene-06;1;681746796;681746796;filled;;;;1
;Acetylene-07;1;41149;;filled;;;;1
;Argon-01;2;683294640;683294640;filled;;;;1
;Argon-02;2;683294622;683294622;filled;;;;1
;Argon-03;2;683294613;683294613;filled;;;;1
;Argon-04;2;683294631;683294631;filled;;;;1
;Argon-05;2;683294659;683294659;filled;;;;1
;Argon-06;2;683294668;683294668;filled;;;;1
;Argon-07;2;21Y1104172;;filled;;;;1
;Argon-08;2;2171340013;;filled;;;;1
;Argon-09;2;1104172;;filled;;;;1
;Helium-01;3;510244015;510244015;filled;;;;1
;Helium-02;3;672259696;672259696;filled;;;;1
;Helium-03;3;6436065866;6436065866;filled;;;;1
;Helium-04;3;643606593;643606593;filled;;;;1
;Helium-05;3;YA2171924114;;filled;;;;1
;Helium-06;3;643606575;643606575;filled;;;;1
;Helium-07;3;13E042074;;filled;;;;1
;Helium-08;3;672352765;672352765;filled;;;;1
;Helium-09;3;672260762;672260762;filled;;;;1
;Helium-10;3;YA19X294;;filled;;;;1
;Helium-11;3;158238085;;filled;;;;1
;Helium-12;3;642352765;642352765;filled;;;;1
;Helium-13;3;673450478;673450478;filled;;;;1
;Helium-14;3;673450423;673450423;filled;;;;1
;Helium-15;3;672259517;672259517;filled;;;;1
;Helium-16;3;b241260081;;filled;;;;1
;Hydrogen-01;4;672266243;672266243;filled;;;;1
;Hydrogen-02;4;639988135;639988135;filled;;;;1
;Hydrogen-03;4;639988144;639988144;filled;;;;1
;Hydrogen-04;4;639988588;639988588;filled;;;;1
;Hydrogen-05;4;639988603;639988603;filled;;;;1
;Hydrogen-06;4;641518577;641518577;filled;;;;1
;Hydrogen-07;4;639988597;639988597;filled;;;;1
;Hydrogen-08;4;672266216;672266216;filled;;;;1
;Hydrogen-09;4;639988603;639988603;filled;;;;1
;Hydrogen-10;4;21Y0947075;;filled;;;;1
;Hydrogen-11;4;672266234;672266234;filled;;;;1
;Hydrogen-12;4;20K733006;;filled;;;;1
;Hydrogen-13;4;672266225;672266225;filled;;;;1
